BRF S.A Price to Free Cash Flow Ratio Historical Data,BRF S.A Price to Free Cash Flow Ratio Historical Data,BRF S.A Price to Free Cash Flow Ratio Historical Data,BRF S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.25,,7.12
2024-06-30,4.07,$0.60,6.82
2024-03-31,3.26,$0.45,7.21
2023-12-31,2.78,$0.27,10.16
2023-09-30,2.05,$0.20,10.26
2023-06-30,1.9,$0.43,4.46
2023-03-31,1.28,$0.28,4.51
2022-12-31,1.58,$-0.17,0.0
2022-09-30,2.34,$-0.24,0.0
2022-06-30,2.56,$-0.27,0.0
2022-03-31,3.97,$-0.40,0.0
2021-12-31,4.09,$0.27,15.03
2021-09-30,5.02,$-0.01,0.0
2021-06-30,5.47,$0.00,0.0
2021-03-31,4.49,$0.18,24.92
2020-12-31,4.2,$0.65,6.43
2020-09-30,3.28,$0.89,3.67
2020-06-30,3.97,$0.55,7.26
2020-03-31,2.9,$1.11,2.61
2019-12-31,8.7,$0.46,18.86
2019-09-30,9.16,$0.47,19.32
2019-06-30,7.6,$0.42,17.91
2019-03-31,5.82,$-0.16,0.0
2018-12-31,5.68,$-0.29,0.0
2018-09-30,5.48,$-0.02,0.0
2018-06-30,4.68,$0.04,109.86
2018-03-31,6.92,$0.20,34.57
2017-12-31,11.26,$-0.31,0.0
2017-09-30,14.41,$-0.49,0.0
2017-06-30,11.79,$-0.23,0.0
2017-03-31,12.25,$-0.56,0.0
2016-12-31,14.76,$-0.18,0.0
2016-09-30,17.06,$0.56,30.5
2016-06-30,13.75,$0.39,35.16
2016-03-31,14.04,$1.13,12.39
2015-09-30,17.3,$1.78,9.72
2015-03-31,19.1,$1.41,13.59
2014-12-31,22.37,$1.79,12.52
2014-09-30,22.79,$1.47,15.53
2014-06-30,22.93,$1.39,16.5
2014-03-31,18.99,$1.28,14.88
2013-12-31,19.67,$0.97,20.29
2013-09-30,23.12,$0.96,24.2
2013-06-30,20.28,$0.69,29.51
2013-03-31,20.64,$0.32,64.11
2012-12-31,19.61,$0.36,54.08
2012-09-30,16.07,$0.20,82.09
2012-06-30,14.11,$0.38,37.21
2012-03-31,18.52,$0.27,69.22
2011-12-31,18.1,$0.02,1117.07
2011-09-30,16.05,$1.14,14.08
2011-06-30,15.87,$1.02,15.49
2011-03-31,17.27,$1.34,12.93
2010-12-31,15.27,$1.43,10.71
2010-09-30,13.93,$0.62,22.59
2010-06-30,11.9,$0.14,82.28
2010-03-31,12.29,$-0.07,0.0
2009-12-31,11.72,$-0.11,0.0
