BXP Price to Free Cash Flow Ratio Historical Data,BXP Price to Free Cash Flow Ratio Historical Data,BXP Price to Free Cash Flow Ratio Historical Data,BXP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,75.22,,62.47
2024-06-30,61.56,$1.20,51.13
2024-03-31,64.29,$1.33,48.34
2023-12-31,68.01,$1.78,38.11
2023-09-30,56.88,$2.81,20.23
2023-06-30,54.17,$2.65,20.43
2023-03-31,50.05,$-1.02,0.0
2022-12-31,61.37,$-0.63,0.0
2022-09-30,67.11,$-0.32,0.0
2022-06-30,78.62,$-1.19,0.0
2022-03-31,112.57,$2.07,54.29
2021-12-31,99.92,$1.04,96.44
2021-09-30,93.21,$0.08,1131.15
2021-06-30,97.71,$1.00,97.57
2021-03-31,85.61,$2.38,36.0
2020-12-31,79.17,$4.19,18.9
2020-09-30,66.55,$3.89,17.1
2020-06-30,74.01,$2.91,25.4
2020-03-31,74.7,$2.07,36.08
2019-12-31,110.5,$0.93,118.43
2019-09-30,103.19,$2.64,39.04
2019-06-30,101.92,$3.58,28.47
2019-03-31,104.99,$2.79,37.64
2018-12-31,87.64,$3.30,26.53
2018-09-30,95.04,$1.32,72.19
2018-06-30,96.09,$1.10,87.0
2018-03-31,93.8,$-0.07,0.0
2017-12-31,98.35,$-0.71,0.0
2017-09-30,92.37,$-0.17,0.0
2017-06-30,91.91,$-0.94,0.0
2017-03-31,98.33,$0.28,345.37
2016-12-31,92.87,$1.29,72.22
2016-09-30,100.02,$2.93,34.1
2016-06-30,96.35,$3.83,25.17
2016-03-31,92.36,$5.38,17.18
2015-12-31,92.22,$5.01,18.42
2015-09-30,84.38,$5.61,15.04
2015-06-30,85.77,$5.79,14.81
2015-03-31,99.03,$4.08,24.25
2014-12-31,90.29,$3.37,26.81
2014-09-30,78.14,$1.15,67.94
2014-06-30,79.33,$2.29,34.6
2014-03-31,76.46,$0.67,113.57
2013-12-31,66.62,$-0.47,0.0
2013-09-30,68.96,$-2.03,0.0
2013-06-30,67.63,$-3.71,0.0
2013-03-31,64.4,$-1.49,0.0
2012-12-31,66.99,$-4.17,0.0
2012-09-30,69.6,$-3.77,0.0
2012-06-30,67.86,$-3.06,0.0
2012-03-31,65.39,$-3.11,0.0
2011-12-31,61.71,$0.87,70.55
2011-09-30,54.9,$-1.51,0.0
2011-06-30,65.05,$-2.32,0.0
2011-03-31,57.85,$-2.94,0.0
2010-12-31,52.23,$-3.39,0.0
2010-09-30,50.13,$-0.35,0.0
2010-06-30,42.78,$0.07,590.83
2010-03-31,44.93,$0.75,60.1
2009-12-31,39.69,$1.33,29.91
