Cannae Holdings Price to Free Cash Flow Ratio Historical Data,Cannae Holdings Price to Free Cash Flow Ratio Historical Data,Cannae Holdings Price to Free Cash Flow Ratio Historical Data,Cannae Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.68,,0.0
2024-06-30,18.03,$-1.45,0.0
2024-03-31,21.95,$-1.45,0.0
2023-12-31,19.26,$-1.23,0.0
2023-09-30,18.4,$-0.97,0.0
2023-06-30,19.95,$-1.41,0.0
2023-03-31,19.92,$-2.37,0.0
2022-12-31,20.38,$-2.58,0.0
2022-09-30,20.39,$-2.88,0.0
2022-06-30,19.09,$-2.99,0.0
2022-03-31,23.61,$-2.59,0.0
2021-12-31,34.69,$-1.99,0.0
2021-09-30,30.7,$-0.81,0.0
2021-06-30,33.47,$-1.01,0.0
2021-03-31,39.1,$-0.83,0.0
2020-12-31,43.69,$-1.53,0.0
2020-09-30,36.77,$-2.99,0.0
2020-06-30,40.56,$-2.14,0.0
2020-03-31,33.05,$-1.94,0.0
2019-12-31,36.7,$-1.26,0.0
2019-09-30,27.11,$-0.02,0.0
2019-06-30,28.6,$0.13,216.19
2019-03-31,23.94,$0.01,2137.78
2018-12-31,16.9,$-0.25,0.0
2018-09-30,20.68,$-2.62,0.0
