Centessa Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Centessa Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Centessa Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Centessa Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.81,,0.0
2024-06-30,9.03,$-1.41,0.0
2024-03-31,11.3,$-1.54,0.0
2023-12-31,7.96,$-1.67,0.0
2023-09-30,6.47,$-1.91,0.0
2023-06-30,6.19,$-1.95,0.0
2023-03-31,3.85,$-2.11,0.0
2022-12-31,3.1,$-2.16,0.0
2022-09-30,4.02,$-2.51,0.0
2022-06-30,4.87,$-2.25,0.0
2022-03-31,8.97,$-2.37,0.0
