"EnLink Midstream, LLC Price to Free Cash Flow Ratio Historical Data","EnLink Midstream, LLC Price to Free Cash Flow Ratio Historical Data","EnLink Midstream, LLC Price to Free Cash Flow Ratio Historical Data","EnLink Midstream, LLC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.6,,9.48
2024-06-30,13.62,$1.54,8.85
2024-03-31,13.37,$1.86,7.17
2023-12-31,11.79,$1.82,6.47
2023-09-30,11.73,$1.40,8.35
2023-06-30,10.07,$1.59,6.31
2023-03-31,10.16,$1.36,7.47
2022-12-31,11.42,$1.50,7.6
2022-09-30,8.18,$1.64,4.99
2022-06-30,7.73,$1.41,5.48
2022-03-31,8.68,$1.46,5.93
2021-12-31,6.11,$1.37,4.45
2021-09-30,5.98,$1.29,4.64
2021-06-30,5.51,$1.38,4.01
2021-03-31,3.63,$1.18,3.07
2020-12-31,3.06,$0.91,3.36
2020-09-30,1.88,$0.76,2.45
2020-06-30,1.88,$0.58,3.23
2020-03-31,0.81,$0.63,1.29
2019-12-31,4.36,$0.54,8.05
2019-09-30,5.8,$0.98,5.92
2019-06-30,6.68,$0.09,74.51
2019-03-31,8.27,$0.58,14.28
2018-12-31,5.99,$0.77,7.75
2018-09-30,10.38,$0.24,42.74
2018-06-30,10.21,$0.57,17.81
2017-12-31,10.59,$-0.49,0.0
2017-09-30,10.21,$-4.67,0.0
2017-06-30,10.27,$-4.65,0.0
2017-03-31,11.16,$-3.88,0.0
2016-12-31,10.8,$-3.68,0.0
2018-03-31,8.94,$0.58,15.32
2016-09-30,9.35,$-2.58,0.0
2016-06-30,8.73,$-2.81,0.0
2016-03-31,6.07,$-2.51,0.0
2015-12-31,7.98,$-3.80,0.0
2015-09-30,9.54,$-0.98,0.0
2015-03-31,16.71,$-2.12,0.0
2014-12-31,18.12,$-2.05,0.0
2014-09-30,20.94,$-1.10,0.0
2014-06-30,20.98,$-0.81,0.0
2014-03-31,17.01,$0.13,135.32
2013-12-31,18.12,0,0.0
2013-09-30,10.43,$1.83,5.7
2013-06-30,9.8,$0.80,12.22
2013-03-31,9.49,$-0.94,0.0
2012-12-31,7.02,$-0.42,0.0
2012-09-30,6.81,$-2.13,0.0
2012-06-30,6.73,$-0.38,0.0
2011-12-31,5.98,$0.94,6.38
2011-09-30,6.33,$3.08,2.06
2011-06-30,5.55,$2.43,2.28
2011-03-31,4.6,$2.11,2.17
2010-12-31,4.06,$3.66,1.11
2012-03-31,6.74,$1.12,6.04
2010-09-30,3.59,$6.67,0.54
2010-06-30,2.91,$11.54,0.25
2010-03-31,3.95,$10.81,0.37
2009-12-31,2.75,$10.39,0.26
2009-09-30,2.4,$4.84,0.5
