Exelixis Price to Free Cash Flow Ratio Historical Data,Exelixis Price to Free Cash Flow Ratio Historical Data,Exelixis Price to Free Cash Flow Ratio Historical Data,Exelixis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.06,,51.57
2024-06-30,22.47,$0.56,39.88
2024-03-31,23.73,$0.59,40.52
2023-12-31,23.99,$0.53,45.27
2023-09-30,21.85,$0.42,51.61
2023-06-30,19.11,$0.66,29.11
2023-03-31,19.41,$0.36,53.75
2022-12-31,16.04,$0.69,23.22
2022-09-30,15.68,$1.06,14.82
2022-06-30,20.82,$0.96,21.7
2022-03-31,22.67,$1.40,16.16
2021-12-31,18.28,$1.04,17.51
2021-09-30,21.14,$0.84,25.15
2021-06-30,18.22,$0.68,26.92
2021-03-31,22.59,$0.47,47.62
2020-12-31,20.07,$0.56,35.73
2020-09-30,24.45,$1.00,24.53
2020-06-30,23.74,$1.18,20.18
2020-03-31,17.22,$1.29,13.31
2019-12-31,17.62,$1.63,10.8
2019-09-30,17.69,$1.48,11.98
2019-06-30,21.37,$1.72,12.39
2019-03-31,23.8,$1.51,15.76
2018-12-31,19.67,$1.22,16.08
2018-09-30,17.72,$1.02,17.45
2018-06-30,21.52,$0.65,33.02
2018-03-31,22.15,$0.46,47.82
2017-12-31,30.4,$0.46,65.57
2017-09-30,24.23,$0.70,34.8
2017-06-30,24.63,$0.50,49.49
2017-03-31,21.67,$0.37,58.73
2016-12-31,14.91,$0.83,17.89
2016-09-30,12.79,$0.30,43.02
2016-06-30,7.81,$0.26,30.28
2016-03-31,4.0,$0.24,16.57
2015-12-31,5.64,$-0.67,0.0
2015-09-30,5.61,$-0.75,0.0
2015-06-30,3.76,$-0.92,0.0
2015-03-31,2.57,$-1.06,0.0
2014-12-31,1.44,$-1.21,0.0
2014-09-30,1.53,$-1.20,0.0
2014-06-30,3.39,$-1.22,0.0
2014-03-31,3.54,$-1.17,0.0
2013-12-31,6.13,$-1.09,0.0
2013-09-30,5.82,$-1.10,0.0
2013-06-30,4.54,$-0.96,0.0
2013-03-31,4.62,$-0.97,0.0
2012-12-31,4.57,$-0.77,0.0
2012-09-30,4.83,$-0.73,0.0
2012-06-30,5.53,$-0.87,0.0
2012-03-31,5.18,$-0.93,0.0
2011-12-31,4.74,$-1.22,0.0
2011-09-30,5.46,$-0.80,0.0
2011-06-30,8.96,$-0.90,0.0
2011-03-31,11.33,$-0.83,0.0
2010-12-31,8.21,$-0.95,0.0
2010-09-30,3.92,$-1.65,0.0
2010-06-30,3.47,$-0.40,0.0
2010-03-31,6.07,$-0.29,0.0
2009-12-31,7.37,$-0.19,0.0
