FIGS Price to Free Cash Flow Ratio Historical Data,FIGS Price to Free Cash Flow Ratio Historical Data,FIGS Price to Free Cash Flow Ratio Historical Data,FIGS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.63,,15.36
2024-06-30,5.33,$0.43,12.35
2024-03-31,4.98,$0.55,9.13
2023-12-31,6.95,$0.46,14.99
2023-09-30,5.9,$0.41,14.39
2023-06-30,8.27,$0.07,120.55
2023-03-31,6.19,$-0.19,0.0
2022-12-31,6.73,$-0.22,0.0
2022-09-30,8.25,$-0.09,0.0
2022-06-30,9.11,$0.05,187.84
2022-03-31,21.52,$0.36,60.28
