Gerdau S.A Price to Free Cash Flow Ratio Historical Data,Gerdau S.A Price to Free Cash Flow Ratio Historical Data,Gerdau S.A Price to Free Cash Flow Ratio Historical Data,Gerdau S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,3.18,,6.82
2024-06-30,3.28,$0.47,7.03
2024-03-31,3.61,$0.60,6.04
2023-12-31,3.94,$0.57,6.92
2023-09-30,3.8,$0.40,9.53
2023-06-30,4.09,$0.48,8.45
2023-03-31,3.78,$0.58,6.56
2022-12-31,4.01,$0.64,6.29
2022-09-30,3.05,$1.18,2.58
2022-06-30,2.81,$1.16,2.42
2022-03-31,4.12,$0.88,4.69
2021-12-31,3.13,$0.82,3.81
2021-09-30,2.93,$0.45,6.46
2021-06-30,3.4,$0.48,7.04
2021-03-31,3.04,$0.46,6.62
2020-12-31,2.65,$0.44,6.07
2020-09-30,2.07,$0.01,188.54
2020-06-30,1.66,$0.10,16.56
2020-03-31,1.07,$0.15,7.24
2019-12-31,2.74,$-0.01,0.0
2019-09-30,1.76,$0.69,2.55
2019-06-30,2.16,$0.47,4.55
2019-03-31,2.15,$0.54,3.96
2018-12-31,2.09,$0.62,3.39
2018-09-30,2.34,$0.44,5.32
2018-06-30,1.95,$0.34,5.72
2018-03-31,2.55,$0.24,10.5
2017-12-31,2.03,$0.47,4.33
2017-09-30,1.87,$0.21,9.01
2017-03-31,1.88,$0.28,6.74
2016-12-31,1.71,$0.33,5.12
2016-09-30,1.48,$0.36,4.08
2016-06-30,0.99,$0.65,1.53
2016-03-31,0.96,$0.71,1.37
2015-12-31,0.65,$0.71,0.92
2015-09-30,0.74,$0.64,1.15
2015-06-30,1.28,$0.39,3.32
2015-03-31,1.69,$0.43,3.95
2014-12-31,1.87,$0.27,6.84
2014-09-30,2.51,$0.19,13.47
2014-06-30,3.07,$0.35,8.89
2014-03-31,3.32,$0.28,12.08
2013-12-31,4.04,$0.38,10.71
2013-09-30,3.82,$0.41,9.25
2013-06-30,2.91,$0.29,10.04
2013-03-31,3.93,$0.27,14.51
2012-12-31,4.57,$0.30,15.21
2012-09-30,4.82,$0.37,13.2
2012-06-30,4.42,$0.20,22.22
2012-03-31,4.84,$-0.22,0.0
2011-12-31,3.91,$-0.07,0.0
2011-09-30,3.53,$-0.17,0.0
2011-06-30,5.18,$0.31,16.52
2011-03-31,6.13,$0.93,6.61
2010-12-31,6.84,$0.91,7.5
2010-09-30,6.62,$1.04,6.37
2010-06-30,6.37,$1.11,5.72
2010-03-31,7.84,$1.32,5.95
2009-12-31,8.15,$1.43,5.69
2009-09-30,6.4,$1.21,5.29
