IDEAYA Biosciences Price to Free Cash Flow Ratio Historical Data,IDEAYA Biosciences Price to Free Cash Flow Ratio Historical Data,IDEAYA Biosciences Price to Free Cash Flow Ratio Historical Data,IDEAYA Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,30.69,,0.0
2024-06-30,35.11,$-1.95,0.0
2024-03-31,43.88,$-2.07,0.0
2023-12-31,35.58,$-2.04,0.0
2023-09-30,26.98,$-2.10,0.0
2023-06-30,23.5,$-2.21,0.0
2023-03-31,13.73,$-2.24,0.0
2022-12-31,18.17,$-2.19,0.0
2022-09-30,14.92,$-2.20,0.0
2022-06-30,13.8,$-1.88,0.0
2022-03-31,11.19,$-1.71,0.0
2021-12-31,23.64,$-1.66,0.0
2021-09-30,25.49,$-1.22,0.0
2021-06-30,20.99,$2.47,8.5
2021-03-31,23.5,$2.23,10.53
2020-12-31,14.0,$2.22,6.3
2020-09-30,12.56,$0.67,18.72
2020-06-30,14.21,$-1.79,0.0
2020-03-31,4.12,$-3.73,0.0
