Intercontinental Hotels Group Price to Free Cash Flow Ratio Historical Data,Intercontinental Hotels Group Price to Free Cash Flow Ratio Historical Data,Intercontinental Hotels Group Price to Free Cash Flow Ratio Historical Data,Intercontinental Hotels Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,113.43,,inf
2023-12-31,89.77,0,0.0
2023-06-30,68.92,0,0.0
2022-12-31,56.26,0,0.0
2021-12-31,61.61,0,0.0
2021-06-30,63.0,0,0.0
2020-12-31,61.52,0,0.0
2020-06-30,41.91,0,0.0
2019-12-31,63.44,0,0.0
2019-06-30,61.4,0,0.0
2018-12-31,49.77,0,0.0
2018-06-30,56.81,0,0.0
2017-12-31,56.89,0,0.0
2017-06-30,49.41,$-2.27,0.0
2016-12-31,39.23,$-1.69,0.0
2015-12-31,34.7,$-0.87,0.0
2013-06-30,24.25,$-0.06,0.0
2012-12-31,24.2,$2.27,10.68
2012-09-30,24.47,$2.49,9.81
2012-06-30,22.29,$3.26,6.84
2012-03-31,21.47,$2.93,7.32
2011-12-31,16.37,$2.94,5.57
2011-09-30,14.63,$2.07,7.08
2011-06-30,18.63,$-1.58,0.0
2015-06-30,35.98,$-0.76,0.0
2011-03-31,18.68,$-0.21,0.0
2010-12-31,17.49,0,0.0
2010-09-30,15.91,$0.80,19.91
2010-06-30,13.79,$0.76,18.07
2010-03-31,13.76,$-0.26,0.0
2009-12-31,12.4,$0.10,128.26
2009-09-30,11.15,$1.27,8.77
2014-12-31,35.15,$-0.00,0.0
2009-06-30,8.81,$0.40,22.03
2009-03-31,6.45,$-0.10,0.0
