J.B Hunt Transport Services Price to Free Cash Flow Ratio Historical Data,J.B Hunt Transport Services Price to Free Cash Flow Ratio Historical Data,J.B Hunt Transport Services Price to Free Cash Flow Ratio Historical Data,J.B Hunt Transport Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,173.2,,55.73
2024-06-30,159.58,$3.11,51.35
2024-03-31,198.23,$3.24,61.22
2023-12-31,198.31,$1.38,143.45
2023-09-30,186.72,$2.07,90.19
2023-06-30,178.94,$3.84,46.64
2023-03-31,173.02,$4.28,40.41
2022-12-31,171.56,$3.28,52.35
2022-09-30,153.54,$2.16,71.1
2022-06-30,154.23,$1.20,128.19
2022-03-31,196.21,$0.67,293.2
2021-12-31,199.32,$3.25,61.25
2021-09-30,162.82,$4.87,33.42
2021-06-30,158.38,$5.19,30.53
2021-03-31,163.07,$6.37,25.58
2020-12-31,132.33,$4.89,27.06
2020-09-30,122.12,$4.86,25.15
2020-06-30,116.05,$6.10,19.03
2020-03-31,88.7,$4.56,19.45
2019-12-31,112.04,$3.79,29.59
2019-09-30,105.93,$3.34,31.68
2019-06-30,87.29,$1.46,59.62
2019-03-31,96.46,$1.44,67.0
2018-12-31,88.39,$1.83,48.24
2018-09-30,112.75,$2.02,55.95
2018-06-30,115.0,$2.17,52.95
2018-03-31,110.61,$2.11,52.4
2017-12-31,108.33,$3.10,34.91
2017-09-30,104.43,$3.22,32.42
2017-06-30,85.69,$3.87,22.17
2017-03-31,85.81,$3.32,25.84
2016-12-31,90.58,$3.25,27.84
2016-09-30,75.51,$3.29,22.93
2016-06-30,75.12,$3.31,22.73
2016-03-31,77.98,$3.42,22.83
2015-12-31,67.7,$2.71,24.94
2015-09-30,65.71,$2.12,30.99
2015-06-30,75.36,$1.64,46.01
2015-03-31,78.21,$0.85,91.67
2014-12-31,76.96,$-0.11,0.0
2014-09-30,67.48,$0.51,131.18
2014-06-30,67.06,$-0.02,0.0
2014-03-31,65.2,$0.35,188.49
2013-12-31,69.89,$1.10,63.29
2013-09-30,65.8,$0.99,66.7
2013-06-30,65.05,$1.42,45.68
2013-03-31,66.93,$1.73,38.69
2012-12-31,53.65,$1.49,36.1
2012-09-30,46.53,$1.35,34.38
2012-06-30,53.15,$1.52,34.97
2012-03-31,48.36,$1.88,25.68
2011-12-31,39.98,$1.56,25.68
2011-09-30,31.95,$1.47,21.69
2011-06-30,41.53,$1.55,26.75
2011-03-31,39.95,$1.48,27.02
2010-12-31,35.78,$1.58,22.62
2010-09-30,30.33,$1.99,15.23
2010-06-30,28.46,$1.58,18.01
2010-03-31,31.15,$0.98,31.76
2009-12-31,27.91,$0.89,31.37
