Knowles Price to Free Cash Flow Ratio Historical Data,Knowles Price to Free Cash Flow Ratio Historical Data,Knowles Price to Free Cash Flow Ratio Historical Data,Knowles Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.91,,12.1
2024-06-30,17.26,$1.48,11.66
2024-03-31,16.1,$1.33,12.13
2023-12-31,17.91,$1.29,13.87
2023-09-30,14.81,$1.12,13.23
2023-06-30,18.06,$0.81,22.26
2023-03-31,17.0,$0.85,19.94
2022-12-31,16.42,$0.59,27.73
2022-09-30,12.17,$0.63,19.22
2022-06-30,17.33,$1.01,17.19
2022-03-31,21.53,$0.99,21.83
2021-12-31,23.35,$1.42,16.49
2021-09-30,18.74,$1.63,11.47
2021-06-30,19.74,$1.40,14.06
2021-03-31,20.92,$1.51,13.89
2020-12-31,18.43,$1.04,17.74
2020-09-30,14.9,$1.04,14.29
2020-06-30,15.26,$1.15,13.32
2020-03-31,13.38,$1.07,12.45
2019-12-31,21.15,$0.89,23.89
2019-09-30,20.34,$0.60,33.78
2019-06-30,18.31,$0.48,37.96
2019-03-31,17.63,$0.24,74.83
2018-12-31,13.31,$0.20,65.6
2018-09-30,16.62,$0.39,43.16
2018-06-30,15.3,$0.15,104.65
2018-03-31,12.59,$0.14,92.23
2017-12-31,14.66,$0.46,31.74
2017-09-30,15.27,$0.56,27.04
2017-06-30,16.92,$0.79,21.47
2017-03-31,18.95,$0.68,28.07
2016-12-31,16.71,$0.79,21.05
2016-09-30,14.05,$0.68,20.61
2016-06-30,13.68,$0.24,57.02
2016-03-31,13.18,$0.43,30.95
2015-12-31,13.33,$0.17,78.37
2015-09-30,18.43,$-0.30,0.0
2015-06-30,18.1,$-0.17,0.0
2015-03-31,19.27,$-0.12,0.0
2014-12-31,23.55,$0.19,126.34
