Mettler-Toledo Price to Free Cash Flow Ratio Historical Data,Mettler-Toledo Price to Free Cash Flow Ratio Historical Data,Mettler-Toledo Price to Free Cash Flow Ratio Historical Data,Mettler-Toledo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,1439.08,,34.65
2024-06-30,1397.59,$41.54,33.65
2024-03-31,1331.29,$41.37,32.18
2023-12-31,1212.96,$39.20,30.94
2023-09-30,1108.07,$39.83,27.82
2023-06-30,1311.64,$38.33,34.22
2023-03-31,1530.21,$35.23,43.44
2022-12-31,1445.45,$32.50,44.48
2022-09-30,1084.12,$29.24,37.08
2022-06-30,1148.77,$29.85,38.49
2022-03-31,1373.19,$31.75,43.24
2021-12-31,1697.21,$34.31,49.46
2021-09-30,1377.36,$34.64,39.76
2021-06-30,1385.34,$32.75,42.3
2021-03-31,1155.69,$30.01,38.52
2020-12-31,1139.68,$26.25,43.41
2020-09-30,965.75,$24.32,39.71
2020-06-30,805.55,$21.88,36.82
2020-03-31,690.51,$19.22,35.93
2019-12-31,793.28,$20.32,39.03
2019-09-30,704.4,$19.21,36.67
2019-06-30,840.0,$17.78,47.23
2019-03-31,723.0,$17.75,40.73
2018-12-31,565.58,$16.70,33.87
2018-09-30,608.98,$15.51,39.27
2018-06-30,578.63,$15.04,38.46
2018-03-31,575.03,$15.03,38.27
2017-12-31,619.52,$15.19,40.79
2017-09-30,626.16,$13.43,46.63
2017-06-30,588.54,$13.87,42.43
2017-03-31,478.91,$13.61,35.18
2016-12-31,418.56,$12.48,33.54
2016-09-30,419.83,$13.91,30.18
2016-06-30,364.92,$13.10,27.85
2016-03-31,344.76,$12.27,28.09
2015-12-31,339.13,$12.67,26.76
2015-09-30,284.74,$12.08,23.57
2015-06-30,341.46,$11.83,28.87
2015-03-31,328.65,$11.69,28.12
2014-12-31,302.46,$11.17,27.08
2014-09-30,256.13,$10.07,25.45
2014-06-30,253.18,$9.89,25.59
2014-03-31,235.68,$9.31,25.32
2013-12-31,242.59,$8.58,28.26
2013-09-30,240.09,$8.40,28.57
2013-06-30,201.2,$7.68,26.19
2013-03-31,213.22,$7.39,28.87
2012-12-31,193.3,$7.31,26.45
2012-09-30,170.74,$6.90,24.73
2012-06-30,155.85,$6.11,25.52
2012-03-31,184.75,$6.03,30.63
2011-12-31,147.71,$5.63,26.24
2011-09-30,139.96,$4.34,32.27
2011-06-30,168.67,$4.48,37.61
2011-03-31,172.0,$4.39,39.22
2010-12-31,151.21,$5.70,26.52
2010-09-30,124.44,$5.53,22.51
2010-06-30,111.63,$5.45,20.49
2010-03-31,109.2,$5.37,20.35
2009-12-31,104.99,$5.09,20.61
