Nomad Foods Price to Free Cash Flow Ratio Historical Data,Nomad Foods Price to Free Cash Flow Ratio Historical Data,Nomad Foods Price to Free Cash Flow Ratio Historical Data,Nomad Foods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.94,,9.01
2024-06-30,16.35,$1.99,8.21
2024-03-31,19.24,$2.52,7.63
2023-12-31,16.53,$2.20,7.51
2023-09-30,14.85,$2.33,6.37
2023-06-30,17.09,$1.79,9.56
2023-03-31,18.28,$1.20,15.23
2022-12-31,16.82,$1.36,12.38
2022-09-30,13.85,$1.02,13.65
2022-06-30,19.5,$0.95,20.51
2022-03-31,22.02,$1.21,18.15
2021-12-31,24.76,$1.51,16.41
2021-09-30,26.88,$1.33,20.14
2021-06-30,27.57,$1.55,17.8
2021-03-31,26.78,$2.50,10.72
2020-12-31,24.79,$2.30,10.78
2020-09-30,24.85,$2.37,10.5
2020-06-30,20.92,$2.44,8.57
2020-03-31,18.1,$1.38,13.15
2019-12-31,21.82,$1.51,14.42
2019-09-30,20.0,$2.15,9.29
2019-06-30,20.83,$1.88,11.11
2019-03-31,19.95,$1.98,10.06
2018-12-31,16.31,$1.92,8.48
2018-09-30,19.76,$0.97,20.35
2018-06-30,18.72,$0.95,19.8
2018-03-31,15.35,$1.19,12.95
2017-12-31,16.49,$1.00,16.49
2017-09-30,14.21,$1.11,12.86
2017-06-30,13.76,$1.80,7.66
2017-03-31,11.17,$1.83,6.1
2016-12-31,9.33,$2.33,4.01
