Pulse Biosciences Price to Free Cash Flow Ratio Historical Data,Pulse Biosciences Price to Free Cash Flow Ratio Historical Data,Pulse Biosciences Price to Free Cash Flow Ratio Historical Data,Pulse Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.77,,0.0
2024-06-30,11.19,$-0.67,0.0
2024-03-31,8.71,$-0.69,0.0
2023-12-31,12.24,$-0.69,0.0
2023-09-30,4.03,$-0.82,0.0
2023-06-30,7.19,$-0.83,0.0
2023-03-31,3.36,$-1.04,0.0
2022-12-31,2.77,$-1.40,0.0
2022-09-30,2.3,$-1.60,0.0
2022-06-30,1.53,$-1.80,0.0
2022-03-31,4.86,$-2.03,0.0
2021-12-31,14.81,$-1.95,0.0
2021-09-30,21.6,$-1.91,0.0
2021-06-30,16.4,$-1.78,0.0
2021-03-31,23.68,$-1.52,0.0
2020-12-31,23.86,$-1.54,0.0
2020-09-30,11.79,$-1.48,0.0
2020-06-30,10.46,$-1.67,0.0
2020-03-31,7.16,$-1.79,0.0
2019-12-31,13.41,$-1.68,0.0
2019-09-30,15.44,$-1.60,0.0
2019-06-30,13.2,$-1.60,0.0
2019-03-31,17.59,$-1.47,0.0
2018-12-31,11.46,$-1.42,0.0
2018-09-30,14.19,$-1.32,0.0
2018-06-30,15.14,$-1.14,0.0
2018-03-31,13.53,$-1.04,0.0
2017-12-31,23.6,$-0.92,0.0
2017-09-30,18.61,$-0.96,0.0
2017-06-30,34.53,$-0.78,0.0
2017-03-31,20.41,$-0.92,0.0
