Pennant Price to Free Cash Flow Ratio Historical Data,Pennant Price to Free Cash Flow Ratio Historical Data,Pennant Price to Free Cash Flow Ratio Historical Data,Pennant Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,35.17,,54.24
2024-06-30,23.19,$0.65,35.76
2024-03-31,19.63,$0.52,37.72
2023-12-31,13.92,$0.83,16.82
2023-09-30,11.13,$0.48,23.22
2023-06-30,12.28,$0.32,38.8
2023-03-31,14.28,$0.27,53.68
2022-12-31,10.98,$-0.17,0.0
2022-09-30,10.41,$-0.15,0.0
2022-06-30,12.81,$-0.44,0.0
2022-03-31,18.63,$-0.76,0.0
2021-12-31,23.08,$-0.80,0.0
2021-09-30,28.09,$-0.64,0.0
2021-06-30,40.9,$-0.31,0.0
2021-03-31,45.8,$1.19,38.52
2020-12-31,58.06,$1.42,40.86
2020-09-30,38.56,$1.60,24.15
