Paysafe Price to Free Cash Flow Ratio Historical Data,Paysafe Price to Free Cash Flow Ratio Historical Data,Paysafe Price to Free Cash Flow Ratio Historical Data,Paysafe Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,22.83,,5.74
2024-06-30,17.68,$3.98,4.44
2024-03-31,15.79,$4.21,3.75
2023-12-31,12.79,$3.60,3.55
2023-09-30,11.99,$-24.71,0.0
2023-06-30,10.09,$-17.84,0.0
2023-03-31,17.27,$-4.22,0.0
2022-12-31,13.89,$3.84,3.61
2022-09-30,1.38,$24.76,0.06
2022-06-30,1.95,$25.74,0.08
2022-03-31,3.39,$5.28,0.64
2021-12-31,3.91,$3.63,1.08
2021-09-30,7.75,$1.46,5.3
