Q2 Holdings Price to Free Cash Flow Ratio Historical Data,Q2 Holdings Price to Free Cash Flow Ratio Historical Data,Q2 Holdings Price to Free Cash Flow Ratio Historical Data,Q2 Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,82.18,,65.84
2024-06-30,60.33,$1.25,48.33
2024-03-31,52.56,$0.84,62.88
2023-12-31,43.41,$0.68,63.89
2023-09-30,32.27,$0.84,38.52
2023-06-30,30.9,$0.62,49.92
2023-03-31,24.62,$0.28,87.8
2022-12-31,26.87,$0.11,236.74
2022-09-30,32.2,$0.04,764.85
2022-06-30,38.57,$-0.18,0.0
2022-03-31,61.65,$-0.13,0.0
2021-12-31,79.44,$0.30,267.11
2021-09-30,80.14,$-0.20,0.0
2021-03-31,100.2,$-0.33,0.0
2020-12-31,126.53,$-0.53,0.0
2020-09-30,91.26,$-0.83,0.0
2020-06-30,85.79,$-0.83,0.0
2020-03-31,59.06,$-0.06,0.0
2019-12-31,81.08,$0.08,967.54
2021-06-30,102.58,$-0.19,0.0
2019-09-30,78.87,$-0.12,0.0
2019-06-30,76.36,$-0.10,0.0
2019-03-31,69.26,$-0.28,0.0
2018-12-31,49.55,$-0.20,0.0
2018-09-30,60.55,$-0.20,0.0
2018-06-30,57.05,$-0.40,0.0
2018-03-31,45.55,$0.02,2435.83
2017-12-31,36.85,$-0.09,0.0
2017-09-30,41.65,$-0.19,0.0
2017-06-30,36.95,$-0.49,0.0
2017-03-31,34.85,$-0.65,0.0
2016-12-31,28.85,$-0.34,0.0
2016-09-30,28.66,$-0.39,0.0
2016-06-30,28.02,$-0.31,0.0
2016-03-31,24.04,$-0.07,0.0
2015-12-31,26.37,$-0.05,0.0
2015-09-30,24.72,$-0.20,0.0
2015-06-30,28.25,$-0.21,0.0
2015-03-31,21.14,$0.01,0.0
2014-12-31,18.84,$-0.35,0.0
