REV Price to Free Cash Flow Ratio Historical Data,REV Price to Free Cash Flow Ratio Historical Data,REV Price to Free Cash Flow Ratio Historical Data,REV Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.82,,0.0
2024-07-31,29.13,$-0.01,0.0
2024-04-30,21.78,$0.80,27.37
2024-01-31,16.42,$0.45,36.44
2023-10-31,11.95,$1.61,7.41
2023-07-31,10.82,$1.36,7.96
2023-04-30,8.94,$0.84,10.69
2023-01-31,10.63,$1.17,9.05
2022-10-31,11.36,$1.23,9.26
2022-07-31,9.58,$1.52,6.32
2022-04-30,9.76,$1.99,4.9
2022-01-31,10.96,$1.99,5.51
2021-10-31,12.29,$2.26,5.44
2021-07-31,12.25,$2.02,6.07
2021-04-30,14.74,$1.15,12.79
2021-01-31,8.35,$1.19,7.03
2020-10-31,6.35,$0.80,7.97
2020-07-31,5.25,$0.63,8.34
2020-04-30,4.3,$1.57,2.74
2020-01-31,8.01,$1.26,6.37
2019-10-31,9.92,$0.77,12.92
2019-07-31,11.57,$0.61,18.94
2019-04-30,10.04,$-0.71,0.0
2019-01-31,6.55,$-0.60,0.0
2018-10-31,8.55,$-1.09,0.0
2018-07-31,13.39,$0.00,0.0
2018-04-30,14.03,$0.16,87.81
2018-01-31,22.68,$-0.59,0.0
2017-10-31,19.97,$-0.35,0.0
