Republic Services Price to Free Cash Flow Ratio Historical Data,Republic Services Price to Free Cash Flow Ratio Historical Data,Republic Services Price to Free Cash Flow Ratio Historical Data,Republic Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,208.21,,33.78
2024-06-30,193.8,$6.16,31.44
2024-03-31,190.37,$6.32,30.12
2023-12-31,163.99,$6.37,25.76
2023-09-30,141.26,$6.16,22.94
2023-06-30,151.26,$5.99,25.23
2023-03-31,133.1,$5.35,24.89
2022-12-31,126.51,$5.58,22.68
2022-09-30,132.91,$5.43,24.46
2022-06-30,127.4,$4.86,26.22
2022-03-31,128.53,$4.85,26.5
2021-12-31,134.8,$4.66,28.9
2021-09-30,115.68,$4.72,24.53
2021-06-30,105.59,$4.68,22.55
2021-03-31,94.99,$4.41,21.53
2020-12-31,91.68,$4.09,22.43
2020-09-30,88.48,$4.12,21.46
2020-06-30,77.42,$4.07,19.04
2020-03-31,70.48,$3.54,19.92
2019-12-31,83.71,$3.62,23.1
2019-09-30,80.47,$3.57,22.53
2019-06-30,80.17,$3.39,23.62
2019-03-31,74.06,$3.49,21.2
2018-12-31,66.11,$3.66,18.05
2018-09-30,66.64,$3.77,17.68
2018-06-30,62.37,$3.59,17.38
2018-03-31,60.13,$3.05,19.69
2017-12-31,61.06,$2.73,22.33
2017-09-30,59.36,$2.70,22.01
2017-06-30,56.97,$2.85,19.97
2017-03-31,55.86,$2.88,19.41
2016-12-31,50.48,$2.70,18.7
2016-09-30,44.39,$2.24,19.86
2016-06-30,44.86,$1.96,22.85
2016-03-31,41.42,$1.97,21.0
2015-12-31,38.0,$2.15,17.68
2015-09-30,35.11,$2.49,14.07
2015-06-30,33.13,$2.41,13.74
2015-03-31,34.07,$2.10,16.24
2014-12-31,33.57,$1.96,17.1
2014-09-30,32.32,$1.84,17.55
2014-06-30,31.23,$1.78,17.59
2014-03-31,27.9,$1.84,15.14
2013-12-31,26.91,$1.90,14.15
2013-09-30,26.83,$1.98,13.52
2013-06-30,27.09,$1.89,14.33
2013-03-31,26.16,$2.13,12.26
2012-12-31,23.08,$1.74,13.29
2012-09-30,21.48,$1.67,12.85
2012-06-30,20.48,$2.11,9.71
2012-03-31,23.45,$0.71,33.13
2011-12-31,20.99,$1.23,17.08
2011-09-30,21.21,$1.06,19.97
2011-06-30,23.14,$0.62,37.52
2010-12-31,22.1,$1.76,12.58
2010-09-30,22.42,$2.27,9.89
2010-06-30,21.72,$2.16,10.07
2010-03-31,21.06,$2.21,9.55
2009-12-31,20.42,$2.02,10.11
2011-03-31,22.38,$1.67,13.43
