Sandy Spring Bancorp Price to Free Cash Flow Ratio Historical Data,Sandy Spring Bancorp Price to Free Cash Flow Ratio Historical Data,Sandy Spring Bancorp Price to Free Cash Flow Ratio Historical Data,Sandy Spring Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.11,,16.7
2024-06-30,24.07,$1.98,12.14
2024-03-31,22.55,$2.17,10.39
2023-12-31,26.09,$2.76,9.47
2023-09-30,20.21,$3.07,6.58
2023-06-30,21.1,$3.44,6.13
2023-03-31,23.78,$3.73,6.37
2022-12-31,31.93,$4.48,7.13
2022-09-30,31.64,$4.83,6.55
2022-06-30,34.76,$4.91,7.09
2022-03-31,39.61,$5.13,7.72
2021-12-31,42.09,$4.37,9.63
2021-09-30,39.86,$4.54,8.78
2021-06-30,38.12,$3.81,10.01
2021-03-31,37.26,$3.35,11.13
2020-12-31,27.37,$3.10,8.82
2020-09-30,19.43,$3.25,5.98
2020-06-30,20.61,$2.70,7.64
2020-03-31,18.57,$2.28,8.13
2019-12-31,30.8,$2.66,11.57
2019-09-30,27.18,$2.28,11.92
2019-06-30,27.88,$3.33,8.37
2019-03-31,24.79,$3.44,7.21
2018-12-31,24.63,$3.86,6.37
2018-09-30,30.65,$3.06,10.01
2018-06-30,31.75,$2.33,13.62
2018-03-31,29.8,$2.35,12.68
2017-12-31,29.79,$2.56,11.64
2017-09-30,31.44,$3.52,8.94
2017-06-30,30.64,$3.36,9.12
2017-03-31,30.71,$4.28,7.17
2016-12-31,29.77,$3.51,8.49
2016-09-30,22.58,$2.36,9.58
2016-06-30,21.29,$2.80,7.61
2016-03-31,20.21,$2.03,9.94
2015-12-31,19.39,$1.73,11.24
2015-09-30,18.68,$1.82,10.29
2015-06-30,19.8,$1.53,12.97
2015-03-31,18.41,$1.25,14.71
2014-12-31,18.14,$1.79,10.11
2014-09-30,15.8,$2.05,7.72
2014-06-30,17.05,$3.04,5.62
2014-03-31,16.97,$4.34,3.91
2013-12-31,19.01,$3.74,5.08
2013-09-30,15.56,$4.01,3.89
2013-06-30,14.38,$2.47,5.82
2013-03-31,13.27,$1.32,10.08
2012-12-31,12.73,$1.96,6.48
2012-09-30,12.52,$1.49,8.38
2012-06-30,11.63,$1.49,7.83
2012-03-31,11.67,$1.98,5.89
2011-12-31,11.21,$2.64,4.25
2011-09-30,9.29,$2.74,3.39
2011-06-30,11.36,$3.05,3.72
2011-03-31,11.61,$3.01,3.86
2010-12-31,11.54,$2.37,4.87
2010-09-30,9.7,$1.15,8.41
2010-06-30,8.76,$2.24,3.92
2010-03-31,9.38,$1.98,4.74
2009-12-31,5.55,$1.45,3.84
