Sally Beauty Holdings Price to Free Cash Flow Ratio Historical Data,Sally Beauty Holdings Price to Free Cash Flow Ratio Historical Data,Sally Beauty Holdings Price to Free Cash Flow Ratio Historical Data,Sally Beauty Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.96,,7.24
2024-06-30,10.73,$1.79,6.0
2023-12-31,13.28,$1.37,9.73
2023-09-30,8.38,$1.45,5.78
2023-06-30,12.35,$1.31,9.4
2023-03-31,15.58,$1.28,12.13
2022-12-31,12.52,$1.07,11.66
2022-09-30,12.6,$0.52,24.27
2022-06-30,11.92,$1.03,11.59
2022-03-31,15.63,$1.36,11.49
2021-12-31,18.46,$2.21,8.35
2021-09-30,16.85,$2.70,6.24
2021-06-30,22.07,$2.62,8.44
2021-03-31,20.13,$3.63,5.54
2020-12-31,13.04,$2.78,4.69
2020-09-30,8.69,$2.76,3.15
2020-06-30,12.53,$2.31,5.43
2020-03-31,8.08,$1.31,6.19
2019-12-31,18.25,$1.86,9.82
2019-09-30,14.89,$1.90,7.86
2019-06-30,13.34,$1.74,7.67
2019-03-31,18.41,$1.81,10.15
2018-12-31,17.05,$1.90,8.98
2018-09-30,18.39,$2.31,7.95
2018-06-30,16.03,$2.49,6.43
2018-03-31,16.45,$2.18,7.54
2017-12-31,18.76,$2.04,9.18
2017-09-30,19.58,$1.84,10.67
2017-06-30,20.25,$1.58,12.83
2017-03-31,20.44,$1.21,16.84
2016-12-31,26.42,$1.62,16.31
2016-09-30,25.68,$1.38,18.6
2016-06-30,29.41,$1.32,22.22
2016-03-31,32.38,$1.32,24.61
2015-12-31,27.89,$-0.05,0.0
2015-09-30,23.75,$0.34,68.88
2015-06-30,31.58,$0.08,382.79
2015-03-31,34.37,$0.58,59.22
2014-09-30,27.37,$1.47,18.68
2014-06-30,25.08,$1.92,13.03
2014-03-31,27.4,$2.06,13.33
2013-12-31,30.23,$1.80,16.78
2013-09-30,26.16,$1.93,13.53
2014-12-31,30.74,$1.00,30.61
2013-06-30,31.1,$1.17,26.66
2013-03-31,29.38,$1.15,25.46
2012-12-31,23.57,$1.16,20.25
2012-09-30,25.09,$1.21,20.7
2012-06-30,25.74,$1.24,20.82
2012-03-31,24.8,$1.30,19.06
2011-12-31,21.13,$1.32,15.97
2011-09-30,16.6,$1.23,13.44
2011-06-30,17.1,$1.12,15.32
2011-03-31,14.01,$1.05,13.34
2010-12-31,14.53,$0.94,15.38
2010-09-30,11.2,$0.92,12.22
2010-06-30,8.2,$0.87,9.39
2010-03-31,8.92,$0.81,11.04
2009-12-31,7.65,$0.65,11.7
2009-09-30,7.11,$1.02,7.0
