1st Source Price to Free Cash Flow Ratio Historical Data,1st Source Price to Free Cash Flow Ratio Historical Data,1st Source Price to Free Cash Flow Ratio Historical Data,1st Source Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,62.55,,8.11
2024-06-30,53.29,$7.72,6.91
2024-03-31,51.75,$7.59,6.82
2023-12-31,53.89,$7.65,7.05
2023-09-30,40.98,$7.56,5.42
2023-06-30,40.55,$7.29,5.57
2023-03-31,41.41,$7.36,5.62
2022-12-31,50.63,$7.39,6.85
2022-09-30,43.91,$8.11,5.42
2022-06-30,42.78,$7.12,6.01
2022-03-31,43.26,$7.06,6.13
2021-12-31,46.11,$6.84,6.74
2021-09-30,43.64,$7.19,6.07
2021-06-30,42.63,$8.53,5.0
2021-03-31,43.38,$7.60,5.71
2020-12-31,36.48,$7.38,4.94
2020-09-30,27.68,$6.65,4.16
2020-06-30,31.67,$6.32,5.01
2020-03-31,28.62,$6.63,4.32
2019-12-31,45.51,$6.58,6.92
2019-09-30,39.9,$7.35,5.43
2019-06-30,40.24,$6.36,6.33
2019-03-31,38.95,$6.31,6.17
2018-12-31,34.78,$5.75,6.05
2018-09-30,45.13,$4.64,9.73
2018-06-30,45.62,$4.99,9.14
2018-03-31,43.02,$3.74,11.5
2017-12-31,41.85,$3.73,11.23
2017-09-30,42.82,$2.93,14.64
2017-06-30,40.25,$2.27,17.77
2017-03-31,39.27,$2.48,15.84
2016-12-31,37.2,$2.37,15.73
2016-09-30,29.58,$1.70,17.43
2016-06-30,26.7,$1.85,14.4
2016-03-31,26.11,$2.00,13.05
2015-12-31,25.16,$1.66,15.12
2015-09-30,24.99,$1.58,15.84
2015-06-30,25.0,$1.76,14.2
2015-03-31,23.41,$1.53,15.3
2014-12-31,24.85,$1.79,13.91
2014-09-30,20.5,$2.26,9.09
2014-06-30,21.91,$1.91,11.49
2014-03-31,22.82,$2.47,9.24
2013-12-31,22.58,$2.32,9.75
2013-09-30,18.93,$3.01,6.29
2013-06-30,16.61,$2.95,5.63
2013-03-31,16.45,$2.89,5.69
2012-12-31,15.21,$3.22,4.73
2012-09-30,15.22,$3.31,4.59
2012-06-30,15.33,$2.89,5.3
2012-03-31,16.48,$0.67,24.65
2011-12-31,16.95,$4.75,3.57
2011-09-30,13.85,$2.16,6.4
2011-06-30,13.69,$1.16,11.77
2010-12-31,13.15,$4.01,3.28
2010-09-30,11.18,$-1.22,0.0
2010-06-30,10.81,$1.60,6.76
2010-03-31,11.13,$6.94,1.6
2009-12-31,10.1,$5.70,1.77
2011-03-31,13.13,$3.54,3.7
