Tennant Price to Free Cash Flow Ratio Historical Data,Tennant Price to Free Cash Flow Ratio Historical Data,Tennant Price to Free Cash Flow Ratio Historical Data,Tennant Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,94.44,,14.67
2024-06-30,98.16,$6.44,15.24
2024-03-31,121.26,$7.51,16.15
2023-12-31,92.2,$8.82,10.46
2023-09-30,73.52,$6.22,11.81
2023-06-30,80.16,$2.27,35.37
2023-03-31,67.49,$-0.36,0.0
2022-12-31,60.41,$-2.46,0.0
2022-09-30,55.26,$-2.94,0.0
2022-06-30,57.65,$-3.22,0.0
2022-03-31,76.37,$-0.71,0.0
2021-12-31,78.3,$2.34,33.49
2021-09-30,71.22,$4.20,16.96
2020-12-31,66.99,$5.58,12.0
2020-09-30,57.43,$2.81,20.45
2020-06-30,61.65,$2.47,24.94
2020-03-31,54.77,$2.42,22.67
2019-12-31,73.42,$3.57,20.56
2021-06-30,76.67,$2.88,26.63
2019-09-30,66.42,$2.64,25.21
2019-06-30,57.31,$1.55,36.91
2019-03-31,57.92,$1.48,39.05
2018-12-31,48.44,$3.34,14.49
2018-09-30,70.61,$2.72,25.93
2018-06-30,73.24,$3.57,20.49
2018-03-31,62.6,$1.44,43.51
2017-12-31,66.97,$2.05,32.65
2017-09-30,60.83,$0.12,526.66
2017-06-30,67.58,$-0.27,0.0
2021-03-31,76.49,$1.71,44.66
2017-03-31,66.33,$1.62,40.94
2016-12-31,64.81,$1.78,36.45
2016-09-30,58.82,$0.83,70.7
2016-06-30,48.75,$1.06,45.88
2016-03-31,46.41,$0.72,64.74
2015-12-31,50.53,$1.12,44.95
2015-09-30,50.29,$1.80,28.01
2015-06-30,58.29,$1.92,30.34
2015-03-31,58.14,$2.20,26.41
2014-12-31,64.0,$2.14,29.93
2014-09-30,59.32,$2.31,25.72
2014-06-30,67.29,$2.14,31.45
2014-03-31,57.68,$0.28,206.14
2013-12-31,59.43,$0.69,85.68
2013-09-30,54.18,$1.07,50.85
2013-06-30,42.04,$0.80,52.86
2012-12-31,37.99,$1.73,22.01
2012-09-30,36.84,$3.78,9.74
2012-06-30,34.23,$2.54,13.46
2012-03-31,37.55,$2.93,12.84
2011-12-31,33.04,$4.19,7.88
2013-03-31,42.14,$1.67,25.23
2011-09-30,29.94,$1.94,15.43
2011-06-30,33.67,$1.08,31.3
2011-03-31,35.28,$0.60,59.26
2010-12-31,32.1,$1.69,19.04
2010-09-30,25.7,$2.07,12.42
2010-06-30,28.01,$2.60,10.79
2010-03-31,22.58,$3.69,6.12
2009-12-31,21.47,$3.46,6.21
