Uranium Energy Price to Free Cash Flow Ratio Historical Data,Uranium Energy Price to Free Cash Flow Ratio Historical Data,Uranium Energy Price to Free Cash Flow Ratio Historical Data,Uranium Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,8.35,,0.0
2024-07-31,5.93,$-0.27,0.0
2024-04-30,6.75,$-0.15,0.0
2024-01-31,7.64,$-0.15,0.0
2023-10-31,5.95,$-0.03,0.0
2023-07-31,3.6,$0.20,18.23
2023-04-30,2.61,$0.05,49.25
2023-01-31,4.03,$0.02,255.06
2022-10-31,4.21,$-0.03,0.0
2022-07-31,4.2,$-0.19,0.0
2022-04-30,4.25,$-0.16,0.0
2022-01-31,2.61,$-0.24,0.0
2021-10-31,3.72,$-0.23,0.0
2021-07-31,2.17,$-0.20,0.0
2021-04-30,2.9,$-0.18,0.0
2021-01-31,1.63,$-0.06,0.0
2020-10-31,0.86,$-0.06,0.0
2020-07-31,0.97,$-0.07,0.0
2020-04-30,1.1,$-0.07,0.0
2020-01-31,0.83,$-0.08,0.0
2019-10-31,0.95,$-0.07,0.0
2019-07-31,0.99,$-0.07,0.0
2019-04-30,1.41,$-0.07,0.0
2019-01-31,1.3,$-0.07,0.0
2018-10-31,1.33,$-0.08,0.0
2018-07-31,1.65,$-0.08,0.0
2018-04-30,1.51,$-0.09,0.0
2018-01-31,1.57,$-0.08,0.0
2017-10-31,1.06,$-0.08,0.0
2017-07-31,1.6,$-0.08,0.0
2017-04-30,1.24,$-0.10,0.0
2017-01-31,1.61,$-0.12,0.0
2016-10-31,0.9,$-0.15,0.0
2016-07-31,0.96,$-0.13,0.0
2016-01-31,0.96,$-0.12,0.0
2015-10-31,1.12,$-0.13,0.0
2015-07-31,1.34,$-0.13,0.0
2015-04-30,2.6,$0.02,138.3
2015-01-31,1.27,$-0.00,0.0
2014-10-31,1.15,$-0.02,0.0
2016-04-30,0.81,$-0.03,0.0
2014-07-31,1.77,$-0.24,0.0
2014-04-30,1.07,$-0.24,0.0
2014-01-31,1.73,$-0.21,0.0
2013-10-31,1.76,$-0.20,0.0
2013-07-31,2.31,$-0.23,0.0
2013-04-30,1.55,$-0.19,0.0
2013-01-31,2.25,$-0.26,0.0
2012-10-31,2.36,$-0.29,0.0
2012-07-31,2.0,$-0.26,0.0
2012-04-30,2.95,$-0.33,0.0
2012-01-31,3.6,$-0.30,0.0
2011-10-31,3.36,$-0.32,0.0
2011-07-31,3.36,$-0.35,0.0
2011-04-30,3.48,$-0.50,0.0
2011-01-31,5.23,$-0.34,0.0
2010-10-31,3.87,$-0.30,0.0
2010-07-31,2.77,$-0.23,0.0
2010-04-30,2.86,$-0.06,0.0
2010-01-31,3.01,$-0.18,0.0
2009-10-31,2.7,$-0.25,0.0
