V2X Price to Free Cash Flow Ratio Historical Data,V2X Price to Free Cash Flow Ratio Historical Data,V2X Price to Free Cash Flow Ratio Historical Data,V2X Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,63.68,,34.19
2024-06-30,47.96,$1.86,25.75
2024-03-31,46.71,$4.74,9.86
2023-12-31,46.44,$5.24,8.86
2023-09-30,51.66,$4.87,10.6
2023-06-30,49.56,$4.62,10.73
2023-03-31,39.72,$4.72,8.41
2022-12-31,41.29,$3.86,10.69
2022-09-30,35.4,$3.29,10.76
2022-06-30,33.46,$4.93,6.79
2022-03-31,35.86,$4.02,8.93
2021-12-31,45.77,$4.36,10.5
2021-09-30,50.28,$6.02,8.35
2021-06-30,47.59,$3.12,15.26
2021-03-31,53.44,$3.00,17.81
2020-12-31,49.72,$5.08,9.79
2020-09-30,38.0,$2.70,14.05
2020-06-30,49.13,$3.87,12.71
2020-03-31,41.41,$2.89,14.31
2019-12-31,51.26,$1.45,35.42
2019-09-30,40.65,$4.08,9.97
2019-06-30,40.56,$2.66,15.23
2019-03-31,26.59,$2.25,11.83
2018-12-31,21.58,$2.64,8.17
2018-09-30,31.19,$1.27,24.59
2018-06-30,30.82,$2.77,11.13
2018-03-31,37.24,$1.02,36.36
2017-12-31,30.85,$2.95,10.46
2017-09-30,30.84,$2.19,14.11
2017-06-30,32.32,$2.02,16.01
2017-03-31,22.35,$4.01,5.57
2016-12-31,23.85,$3.28,7.27
2016-09-30,15.23,$3.85,3.95
2016-06-30,28.49,$3.53,8.07
2016-03-31,22.75,$-1.84,0.0
2015-12-31,20.89,$-1.93,0.0
2015-09-30,22.04,$3.42,6.44
2015-06-30,24.87,$-0.08,0.0
