Wipro Price to Free Cash Flow Ratio Historical Data,Wipro Price to Free Cash Flow Ratio Historical Data,Wipro Price to Free Cash Flow Ratio Historical Data,Wipro Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.35,,18.8
2024-06-30,6.1,$0.34,18.06
2023-09-30,4.83,$0.34,14.2
2023-06-30,4.71,$0.34,13.71
2023-03-31,4.48,$0.26,17.37
2022-12-31,4.64,$0.22,20.76
2022-09-30,4.69,$0.19,24.11
2022-06-30,5.29,$0.14,37.46
2022-03-31,7.61,$0.22,34.66
2021-12-31,9.62,$0.21,46.34
2021-09-30,8.7,$0.24,35.89
2021-06-30,7.7,$0.30,26.06
2021-03-31,6.25,$0.31,20.1
2020-12-31,5.56,$0.29,19.38
2020-09-30,4.62,$0.26,17.99
2020-06-30,3.26,$0.21,15.58
2020-03-31,3.05,$0.18,17.11
2019-12-31,3.67,$0.24,15.32
2019-09-30,3.58,$0.25,14.33
2019-06-30,4.24,$0.22,18.88
2019-03-31,3.9,$0.23,17.03
2018-12-31,3.76,$0.16,23.15
2018-09-30,3.82,$0.15,25.43
2018-06-30,3.51,$0.15,23.09
2018-03-31,3.79,$0.15,24.63
2017-12-31,4.0,$0.21,19.19
2017-09-30,4.16,$0.20,21.21
2017-06-30,3.8,$0.21,17.83
2017-03-31,3.74,$0.17,21.53
2016-12-31,3.53,$0.15,23.56
2016-09-30,3.54,$0.15,23.82
2016-06-30,4.5,$0.01,441.23
2016-03-31,4.58,$0.08,59.18
2015-12-31,4.17,$0.07,58.23
2015-09-30,4.45,$0.07,63.07
2015-03-31,4.78,$0.22,21.36
2014-09-30,4.33,$0.17,26.24
2014-06-30,4.21,$0.17,24.11
2014-03-31,4.74,$0.15,31.13
2013-12-31,4.44,$0.15,29.44
2013-09-30,3.62,$0.23,15.77
2013-06-30,2.57,$0.17,15.03
2013-03-31,3.52,$0.17,20.86
2012-12-31,3.04,$0.15,19.66
2012-09-30,3.1,$0.06,48.76
2012-06-30,3.18,$0.09,34.47
2012-03-31,3.78,$0.07,50.69
2011-12-31,3.49,$0.03,115.58
2011-09-30,3.17,$0.06,54.63
2011-06-30,4.51,$0.06,74.69
2015-06-30,4.29,$0.07,61.41
2011-03-31,4.98,$0.09,56.63
2010-12-31,5.25,$0.07,76.59
2010-09-30,4.9,$0.08,62.39
2010-06-30,4.07,$0.09,43.3
2010-03-31,4.65,$0.12,39.9
2009-12-31,4.45,$0.14,30.68
