ZIM Integrated Shipping Services Price to Free Cash Flow Ratio Historical Data,ZIM Integrated Shipping Services Price to Free Cash Flow Ratio Historical Data,ZIM Integrated Shipping Services Price to Free Cash Flow Ratio Historical Data,ZIM Integrated Shipping Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,20.98,,1.72
2024-06-30,22.17,$12.22,1.81
2024-03-31,10.12,$-37.99,0.0
2023-12-31,9.87,$-31.75,0.0
2023-09-30,10.45,$-19.25,0.0
2023-06-30,12.39,$-8.35,0.0
2022-12-31,17.19,$48.26,0.36
2022-09-30,23.5,$54.59,0.43
2022-06-30,42.33,$55.33,0.77
2022-03-31,62.55,$52.91,1.18
2021-12-31,41.5,$41.85,0.99
2021-09-30,34.03,$32.38,1.05
