AECOM Price to Free Cash Flow Ratio Historical Data,AECOM Price to Free Cash Flow Ratio Historical Data,AECOM Price to Free Cash Flow Ratio Historical Data,AECOM Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,107.55,,21.4
2024-06-30,87.73,$5.02,17.46
2024-03-31,97.39,$4.95,19.69
2023-12-31,91.56,$4.25,21.52
2023-09-30,82.07,$4.22,19.47
2023-06-30,83.53,$4.16,20.09
2023-03-31,82.98,$3.53,23.49
2022-12-31,83.4,$3.57,23.34
2022-09-30,67.0,$4.10,16.33
2022-06-30,63.76,$4.30,14.84
2022-03-31,74.95,$4.99,15.02
2021-12-31,75.33,$5.11,14.73
2021-09-30,61.5,$3.90,15.78
2021-06-30,61.66,$5.74,10.74
2021-03-31,62.43,$4.71,13.26
2020-12-31,48.48,$2.75,17.66
2020-09-30,40.75,$1.36,30.03
2020-06-30,36.6,$2.41,15.21
2020-03-31,29.07,$1.79,16.24
2019-12-31,42.0,$4.26,9.86
2019-09-30,36.58,$4.35,8.41
2019-06-30,36.86,$2.62,14.07
2019-03-31,28.89,$2.56,11.27
2018-12-31,25.81,$2.64,9.79
2018-09-30,31.81,$4.24,7.5
2018-06-30,32.17,$2.53,12.7
2018-03-31,34.7,$4.74,7.33
2017-12-31,36.18,$3.74,9.68
2017-09-30,35.85,$3.88,9.23
2017-06-30,31.48,$4.53,6.96
2017-03-31,34.66,$3.26,10.62
2016-12-31,35.41,$4.20,8.44
2016-09-30,28.95,$4.34,6.67
2016-06-30,30.94,$4.08,7.58
2016-03-31,29.99,$3.86,7.76
2015-12-31,29.25,$3.33,8.77
2015-09-30,26.79,$4.65,5.77
2015-06-30,32.22,$4.46,7.23
2015-03-31,30.01,$4.09,7.34
2014-12-31,29.58,$3.64,8.13
2014-09-30,32.87,$3.02,10.89
2014-06-30,31.36,$2.77,11.3
2014-03-31,31.33,$2.97,10.56
2013-12-31,28.66,$4.18,6.86
2013-09-30,30.45,$3.50,8.71
2013-06-30,30.96,$3.97,7.79
2013-03-31,31.94,$4.82,6.63
2012-12-31,23.18,$4.04,5.74
2012-09-30,20.61,$3.31,6.22
2012-06-30,16.02,$3.38,4.73
2012-03-31,21.79,$1.72,12.63
2011-12-31,20.03,$1.88,10.65
2011-09-30,17.21,$0.46,37.7
2011-06-30,26.63,$-0.79,0.0
2011-03-31,27.01,$0.27,101.87
2010-12-31,27.24,$-0.43,0.0
2010-09-30,23.63,$0.78,30.26
2010-06-30,22.46,$0.95,23.71
2010-03-31,27.63,$0.69,40.32
2009-12-31,26.78,$1.08,24.76
