Cameco Price to Free Cash Flow Ratio Historical Data,Cameco Price to Free Cash Flow Ratio Historical Data,Cameco Price to Free Cash Flow Ratio Historical Data,Cameco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,56.67,,62.74
2024-06-30,49.2,$0.90,54.47
2024-03-31,43.32,$0.63,68.88
2023-12-31,43.1,$0.91,47.38
2023-09-30,39.56,$0.72,54.68
2023-06-30,31.27,$0.58,53.88
2023-03-31,26.12,$0.34,75.75
2022-12-31,22.62,$0.31,73.94
2022-09-30,26.36,$0.27,96.05
2022-06-30,20.9,$0.52,40.2
2022-03-31,28.93,$0.94,30.76
2021-12-31,21.68,$0.73,29.62
2021-09-30,21.55,$1.12,19.22
2021-06-30,19.02,$0.61,31.33
2021-03-31,16.47,$-0.27,0.0
2020-12-31,13.29,$-0.04,0.0
2020-09-30,9.96,$0.01,0.0
2020-06-30,10.1,$0.58,17.52
2020-03-31,7.53,$1.03,7.28
2019-12-31,8.77,$0.86,10.19
2019-09-30,9.3,$0.48,19.34
2019-06-30,10.51,$0.58,18.06
2019-03-31,11.55,$0.81,14.27
2018-12-31,11.12,$1.19,9.3
2018-09-30,11.11,$1.66,6.71
2018-06-30,10.96,$1.40,7.8
2018-03-31,8.86,$1.52,5.82
2017-12-31,8.99,$0.94,9.53
2017-09-30,9.34,$0.78,12.04
2017-06-30,8.72,$1.18,7.41
2017-03-31,10.53,$0.73,14.38
2016-12-31,9.89,$0.19,53.1
2016-09-30,8.03,$0.68,11.77
2016-06-30,10.2,$-0.39,0.0
2016-03-31,11.85,$-0.46,0.0
2015-12-31,11.32,$0.22,52.53
2015-09-30,11.1,$-0.43,0.0
2015-06-30,12.95,$0.30,43.02
2015-03-31,12.56,$0.32,39.73
2014-12-31,14.71,$0.00,0.0
2014-09-30,15.75,$-0.21,0.0
2014-06-30,17.4,$-0.56,0.0
2014-03-31,20.22,$-0.71,0.0
2013-12-31,18.27,$-0.28,0.0
2013-09-30,15.82,$0.23,68.08
2013-06-30,17.99,$-0.16,0.0
2013-03-31,18.02,$-0.70,0.0
2012-12-31,17.02,$-0.21,0.0
2012-09-30,16.7,$-0.63,0.0
2012-06-30,18.75,$-0.17,0.0
2012-03-31,18.27,$0.53,34.34
2011-12-31,15.28,$0.22,70.63
2011-09-30,15.42,$0.03,564.79
2011-06-30,22.06,$-0.33,0.0
2011-03-31,25.05,$0.35,72.54
2010-12-31,33.56,$0.09,359.68
2010-09-30,23.01,$0.36,63.78
2010-06-30,17.61,$0.98,17.91
2010-03-31,22.61,$0.66,34.17
2009-12-31,26.47,$0.67,39.3
