Coinbase Global Price to Free Cash Flow Ratio Historical Data,Coinbase Global Price to Free Cash Flow Ratio Historical Data,Coinbase Global Price to Free Cash Flow Ratio Historical Data,Coinbase Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,204.2,,49.58
2024-06-30,222.23,$4.12,53.96
2024-03-31,265.12,$2.91,90.95
2023-12-31,173.92,$3.38,51.46
2023-09-30,75.08,$0.27,278.59
2023-06-30,71.55,$-2.62,0.0
2023-03-31,67.57,$-4.08,0.0
2022-12-31,35.39,$-7.41,0.0
2022-09-30,64.49,$-16.54,0.0
2022-06-30,47.02,$-13.67,0.0
2022-03-31,189.86,$16.93,11.21
