Evercore Inc Price to Free Cash Flow Ratio Historical Data,Evercore Inc Price to Free Cash Flow Ratio Historical Data,Evercore Inc Price to Free Cash Flow Ratio Historical Data,Evercore Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,282.28,,15.77
2024-06-30,207.75,$17.90,11.61
2024-03-31,191.97,$13.68,14.03
2023-12-31,169.8,$10.92,15.55
2023-09-30,136.16,$9.57,14.23
2023-06-30,121.36,$11.22,10.82
2023-03-31,112.51,$14.54,7.74
2022-12-31,105.76,$12.38,8.54
2022-09-30,79.24,$22.87,3.47
2022-06-30,89.54,$24.70,3.63
2022-03-31,105.8,$27.13,3.9
2021-12-31,128.41,$31.32,4.1
2021-09-30,125.78,$27.86,4.51
2021-06-30,131.8,$21.82,6.04
2021-03-31,122.78,$18.52,6.63
2020-12-31,101.66,$21.70,4.68
2020-09-30,60.3,$19.47,3.1
2020-06-30,53.78,$21.87,2.46
2020-03-31,41.62,$5.63,7.4
2019-12-31,66.98,$21.56,3.11
2019-06-30,78.2,$10.61,7.37
2019-03-31,79.76,$9.31,8.57
2018-12-31,62.38,$18.03,3.46
2018-09-30,87.65,$10.29,8.52
2018-06-30,91.49,$11.20,8.17
2018-03-31,75.31,$11.54,6.53
2017-12-31,77.4,$10.62,7.29
2017-09-30,68.69,$10.44,6.58
2017-06-30,60.07,$12.06,4.98
2017-03-31,66.06,$9.78,6.76
2016-12-31,58.01,$9.13,6.35
2016-09-30,43.27,$10.64,4.07
2016-06-30,36.9,$7.31,5.05
2016-03-31,42.96,$7.37,5.82
2015-12-31,44.57,$8.04,5.54
2015-09-30,41.18,$5.88,7.0
2015-06-30,44.0,$6.20,7.1
2015-03-31,41.89,$5.78,7.25
2014-12-31,42.23,$4.84,8.73
2014-09-30,37.7,$3.89,9.68
2014-06-30,46.01,$4.79,9.6
2014-03-31,43.9,$4.48,9.8
2013-12-31,47.29,$5.05,9.37
2013-09-30,38.77,$6.42,6.04
2013-06-30,30.63,$4.52,6.78
2013-03-31,32.26,$5.54,5.82
2012-12-31,23.28,$4.49,5.18
2012-09-30,20.66,$2.41,8.56
2012-06-30,17.75,$4.29,4.13
2012-03-31,21.89,$2.88,7.6
2011-12-31,19.9,$4.73,4.2
2011-09-30,16.91,$3.88,4.36
2011-06-30,24.53,$2.53,9.71
2011-03-31,25.12,$2.35,10.71
2010-12-31,24.77,$1.59,15.62
2010-09-30,20.72,$5.88,3.52
2010-06-30,16.81,$5.41,3.11
2010-03-31,21.49,$2.26,9.52
2009-12-31,21.67,$9.24,2.35
2009-09-30,20.74,$0.79,26.3
