Frontier Communications Parent Price to Free Cash Flow Ratio Historical Data,Frontier Communications Parent Price to Free Cash Flow Ratio Historical Data,Frontier Communications Parent Price to Free Cash Flow Ratio Historical Data,Frontier Communications Parent Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,35.85,,0.0
2024-06-30,26.18,$-3.42,0.0
2024-03-31,24.5,$-5.60,0.0
2023-12-31,25.34,$-7.37,0.0
2023-09-30,15.65,$-9.41,0.0
2023-06-30,18.64,$-10.33,0.0
2023-03-31,22.77,$-8.83,0.0
2022-12-31,25.48,$-5.40,0.0
2022-09-30,23.43,$-2.58,0.0
2022-06-30,23.54,$0.34,69.32
2022-03-31,27.67,$-2.21,0.0
