ICON Price to Free Cash Flow Ratio Historical Data,ICON Price to Free Cash Flow Ratio Historical Data,ICON Price to Free Cash Flow Ratio Historical Data,ICON Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,295.24,,20.73
2024-06-30,313.47,$14.24,22.01
2024-03-31,335.95,$14.14,23.76
2023-12-31,283.07,$12.34,22.95
2023-09-30,246.25,$6.22,39.6
2023-06-30,250.2,$4.60,54.41
2023-03-31,213.59,$4.40,48.56
2022-12-31,194.25,$5.11,38.04
2022-09-30,183.78,$11.21,16.39
2022-06-30,216.7,$11.09,19.53
2022-03-31,243.22,$11.38,21.38
2021-12-31,309.7,$10.80,28.67
2021-09-30,262.02,$9.52,27.52
2021-06-30,206.71,$9.47,21.82
2021-03-31,196.37,$9.39,20.91
2020-12-31,194.98,$9.89,19.71
2020-09-30,191.09,$8.63,22.15
2020-06-30,168.46,$9.36,18.01
2020-03-31,136.0,$7.48,18.18
2019-12-31,172.23,$6.66,25.86
2019-09-30,147.34,$5.26,27.99
2019-06-30,153.97,$4.70,32.74
2019-03-31,136.58,$5.05,27.03
2018-12-31,129.21,$4.02,32.14
2018-09-30,153.75,$4.81,31.98
2018-06-30,132.53,$4.50,29.47
2018-03-31,118.14,$4.03,29.34
2017-12-31,112.15,$6.17,18.18
2017-09-30,113.88,$6.71,16.97
2017-06-30,97.79,$5.64,17.35
2017-03-31,79.72,$5.65,14.11
2016-12-31,75.2,$3.84,19.58
2016-09-30,77.37,$3.46,22.38
2016-06-30,70.01,$3.76,18.6
2016-03-31,75.1,$3.91,19.22
2015-12-31,77.7,$3.80,20.43
2015-09-30,70.97,$3.19,22.28
2015-06-30,67.3,$2.76,24.43
2015-03-31,70.53,$3.03,23.27
2014-12-31,50.99,$3.66,13.93
2014-09-30,57.23,$3.17,18.05
2014-03-31,47.55,$2.59,18.38
2013-12-31,40.42,$3.05,13.24
2013-09-30,40.93,$3.43,11.94
2013-06-30,35.43,$1.07,33.23
2013-03-31,32.29,$1.41,22.95
2012-12-31,27.76,$0.47,59.41
2014-06-30,47.11,$-0.46,0.0
2012-09-30,24.37,$1.75,13.9
2012-06-30,22.53,$1.09,20.74
2012-03-31,21.22,$0.83,25.61
2011-12-31,17.11,$-0.25,0.0
2011-09-30,16.08,$-0.28,0.0
2011-06-30,23.56,$-0.05,0.0
2011-03-31,21.59,$0.62,34.63
2010-12-31,21.9,$0.93,23.59
2010-09-30,21.62,$1.33,16.28
2010-06-30,28.89,$2.38,12.12
2010-03-31,26.41,$3.53,7.49
2009-12-31,21.73,$3.68,5.9
