Vail Resorts Price to Free Cash Flow Ratio Historical Data,Vail Resorts Price to Free Cash Flow Ratio Historical Data,Vail Resorts Price to Free Cash Flow Ratio Historical Data,Vail Resorts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,171.24,,17.29
2024-07-31,179.67,$9.90,18.14
2024-04-30,184.62,$10.45,17.67
2024-01-31,214.27,$10.03,21.36
2023-10-31,202.97,$10.34,19.63
2023-07-31,223.04,$8.31,26.85
2023-04-30,225.91,$11.05,20.44
2023-01-31,244.12,$12.40,19.69
2022-10-31,202.3,$12.15,16.66
2022-07-31,217.08,$14.35,15.13
2022-04-30,230.77,$13.92,16.57
2022-01-31,249.82,$12.50,19.98
2021-10-31,309.95,$15.64,19.82
2021-07-31,273.72,$10.28,26.62
2021-04-30,291.63,$8.95,32.58
2021-01-31,238.53,$4.89,48.76
2020-10-31,208.11,$3.60,57.82
2020-07-31,172.23,$5.45,31.59
2020-04-30,153.36,$5.98,25.64
2020-01-31,207.92,$11.36,18.31
2019-10-31,204.55,$11.44,17.88
2019-07-31,215.32,$10.74,20.04
2019-04-30,198.33,$10.72,18.51
2019-01-31,161.81,$10.79,15.0
2018-10-31,214.51,$10.06,21.33
2018-07-31,234.93,$9.80,23.97
2018-04-30,193.55,$10.28,18.83
2018-01-31,183.29,$10.90,16.82
2017-10-31,191.12,$10.73,17.82
2017-07-31,175.04,$8.09,21.64
2017-04-30,163.34,$8.48,19.27
2017-01-31,140.96,$8.30,16.98
2016-10-31,131.02,$7.72,16.96
2016-07-31,116.96,$8.78,13.32
2016-04-30,105.35,$6.41,16.44
2016-01-31,100.94,$5.68,17.76
2015-10-31,91.75,$6.25,14.67
2015-07-31,87.62,$4.81,18.23
2015-04-30,78.8,$6.34,12.42
2015-01-31,69.28,$6.62,10.46
2014-10-31,67.86,$3.84,17.69
2014-07-31,59.04,$3.44,17.15
2014-04-30,53.84,$2.67,20.14
2014-01-31,52.69,$2.45,21.53
2013-10-31,54.32,$3.02,17.97
2013-07-31,51.48,$3.47,14.83
2013-04-30,46.19,$4.15,11.13
2013-01-31,40.34,$3.43,11.75
2012-10-31,43.19,$1.75,24.63
2012-07-31,37.51,$1.44,26.06
2012-04-30,30.69,$2.20,13.97
2012-01-31,32.68,$0.94,34.94
2011-10-31,33.28,$2.06,16.18
2011-07-31,34.04,$4.67,7.29
2011-04-30,36.33,$5.04,7.21
2011-01-31,35.64,$4.89,7.29
2010-10-31,30.08,$3.42,8.79
2010-07-31,28.09,$-0.66,0.0
2010-04-30,33.85,$-2.33,0.0
2010-01-31,24.99,$-2.27,0.0
2009-10-31,25.54,$-1.06,0.0
