Murphy USA Price to Free Cash Flow Ratio Historical Data,Murphy USA Price to Free Cash Flow Ratio Historical Data,Murphy USA Price to Free Cash Flow Ratio Historical Data,Murphy USA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,480.32,,21.49
2024-06-30,469.05,$22.35,20.99
2024-03-31,418.42,$20.03,20.89
2023-12-31,355.53,$20.64,17.23
2023-09-30,340.38,$18.85,18.06
2023-06-30,309.5,$21.60,14.33
2023-03-31,256.37,$21.66,11.84
2022-12-31,277.35,$29.15,9.51
2022-09-30,272.44,$26.68,10.21
2022-06-30,230.53,$25.88,8.91
2022-03-31,197.72,$22.07,8.96
2021-12-31,196.69,$17.52,11.23
2021-09-30,164.84,$15.57,10.59
2021-06-30,131.23,$9.17,14.31
2021-03-31,141.99,$15.77,9.0
2020-12-31,128.29,$11.55,11.1
2020-09-30,125.5,$10.70,11.73
2020-06-30,110.16,$11.88,9.27
2020-03-31,82.54,$5.11,16.15
2019-12-31,114.47,$3.48,32.86
2019-09-30,83.46,$6.65,12.56
2019-06-30,82.22,$5.17,15.89
2019-03-31,83.77,$4.75,17.63
2018-12-31,74.99,$5.93,12.64
2018-09-30,83.62,$4.14,20.21
2018-06-30,72.69,$5.24,13.88
2018-03-31,71.23,$5.50,12.96
2017-12-31,78.63,$0.72,108.51
2017-09-30,67.51,$0.64,105.95
2017-06-30,72.51,$-1.96,0.0
2017-03-31,71.84,$-1.77,0.0
2016-12-31,60.14,$4.05,14.85
2016-09-30,69.82,$2.75,25.36
2016-06-30,72.56,$3.97,18.29
2016-03-31,60.12,$3.00,20.04
2015-12-31,59.43,$0.26,229.45
2015-09-30,53.76,$0.76,70.93
2015-06-30,54.61,$1.62,33.66
2015-03-31,70.81,$1.85,38.33
2014-12-31,67.37,$3.68,18.33
2014-09-30,51.91,$1.71,30.45
2014-06-30,47.83,$6.09,7.86
