Woori Bank Price to Free Cash Flow Ratio Historical Data,Woori Bank Price to Free Cash Flow Ratio Historical Data,Woori Bank Price to Free Cash Flow Ratio Historical Data,Woori Bank Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,36.2,,1.37
2024-06-30,32.04,$26.37,1.22
2024-03-31,32.43,$15.30,2.12
2023-12-31,30.22,$4.67,6.47
2023-09-30,27.42,$61.80,0.44
2023-06-30,26.95,$41.25,0.65
2023-03-31,26.29,$30.30,0.87
2022-12-31,27.53,$60.48,0.46
2022-09-30,22.32,$-18.07,0.0
2022-06-30,28.28,$-4.81,0.0
2022-03-31,37.66,$7.89,4.77
2021-12-31,32.13,$-6.68,0.0
2021-09-30,27.62,$3.05,9.06
2021-06-30,28.64,$-13.62,0.0
2021-03-31,25.64,$20.87,1.23
2020-12-31,25.9,$13.31,1.95
2020-09-30,20.3,$3.75,5.41
2020-06-30,20.39,$3.92,5.2
2020-03-31,17.27,$7.99,2.16
2019-12-31,27.83,$5.49,5.07
2019-09-30,27.38,$31.26,0.88
2019-06-30,32.22,$38.91,0.83
2019-03-31,31.53,$21.94,1.44
2018-12-31,36.95,$36.22,1.02
2018-09-30,38.46,$8.72,4.41
2018-06-30,37.31,$-7.11,0.0
2018-03-31,35.1,$-7.56,0.0
2017-12-31,37.92,$-8.91,0.0
2017-09-30,38.35,$-7.32,0.0
2017-06-30,40.06,$20.94,1.91
2017-03-31,28.76,$14.52,1.98
2016-12-31,26.18,$17.68,1.48
2016-09-30,24.94,$22.47,1.11
2016-06-30,19.69,$2.36,8.35
2016-03-31,19.77,$14.90,1.33
2015-12-31,17.92,$-1.45,0.0
2015-09-30,18.71,$-7.19,0.0
2015-06-30,20.89,$-3.80,0.0
2015-03-31,19.82,$-32.10,0.0
2014-12-31,21.11,$0.00,0.0
2014-09-30,28.7,$3.24,8.85
2014-06-30,27.24,$7.27,3.75
2014-03-31,26.84,$26.08,1.03
2013-12-31,29.69,$-0.00,0.0
2013-09-30,26.64,$2.97,8.98
2013-06-30,21.44,$-2.43,0.0
2013-03-31,26.31,$-8.71,0.0
2012-12-31,25.83,$-1.26,0.0
2012-09-30,22.42,$-3.34,0.0
2012-06-30,25.24,$7.60,3.32
2012-03-31,26.2,$25.45,1.03
2011-12-31,18.53,$-4.18,0.0
2011-09-30,18.84,$-26.72,0.0
2011-06-30,29.52,$-25.41,0.0
2011-03-31,29.35,$-62.08,0.0
2010-12-31,30.89,$-20.55,0.0
2010-09-30,27.26,$12.22,2.23
2010-06-30,25.7,$-13.38,0.0
2010-03-31,32.22,$16.83,1.92
2009-12-31,26.39,$-2.37,0.0
