Workiva Price to Free Cash Flow Ratio Historical Data,Workiva Price to Free Cash Flow Ratio Historical Data,Workiva Price to Free Cash Flow Ratio Historical Data,Workiva Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,81.85,,71.38
2024-06-30,72.99,$1.15,63.65
2024-03-31,84.8,$1.62,52.36
2023-12-31,101.53,$1.27,79.89
2023-09-30,101.34,$0.78,130.11
2023-06-30,101.66,$0.59,171.32
2023-03-31,102.41,$0.28,370.38
2022-12-31,83.97,$0.15,564.69
2022-09-30,77.8,$0.36,216.23
2022-06-30,65.99,$0.59,112.42
2022-03-31,118.0,$0.67,177.2
2021-12-31,130.49,$0.91,144.06
2021-09-30,140.96,$1.02,138.49
2021-06-30,111.33,$0.87,128.05
2021-03-31,88.26,$0.77,114.27
2020-12-31,91.62,$0.65,141.5
2020-09-30,55.76,$0.42,132.29
2020-06-30,53.49,$0.35,152.09
2020-03-31,32.33,$0.61,52.72
2019-12-31,42.05,$0.60,70.0
2019-09-30,43.83,$0.53,82.22
2019-06-30,58.09,$0.61,94.72
2019-03-31,50.7,$0.15,329.01
2018-12-31,35.89,$0.12,296.86
2018-09-30,39.5,$-0.01,0.0
2018-06-30,24.4,$-0.07,0.0
2018-03-31,23.7,$0.09,276.55
2017-12-31,21.4,$0.10,205.57
2017-09-30,20.85,$0.48,43.66
2017-06-30,19.05,$0.45,42.58
2017-03-31,15.65,$0.24,65.24
2016-12-31,13.65,$-0.30,0.0
2016-09-30,18.13,$-0.66,0.0
2016-06-30,13.66,$-0.86,0.0
2016-03-31,11.65,$-0.81,0.0
2015-12-31,17.57,$-0.59,0.0
2015-09-30,15.19,$-0.83,0.0
