Goldman Sachs Price to Free Cash Flow Ratio Historical Data,Goldman Sachs Price to Free Cash Flow Ratio Historical Data,Goldman Sachs Price to Free Cash Flow Ratio Historical Data,Goldman Sachs Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,510.25,,0.0
2024-06-30,449.68,$-216.75,0.0
2024-03-31,415.25,$-137.90,0.0
2023-12-31,380.85,$-145.39,0.0
2023-09-30,316.88,$-24.72,0.0
2023-06-30,313.25,$173.60,1.8
2022-12-31,328.57,$21.41,15.35
2022-09-30,278.6,$101.15,2.75
2022-06-30,280.27,$84.42,3.32
2022-03-31,309.59,$-147.22,0.0
2021-12-31,356.61,$-35.88,0.0
2023-03-31,315.26,$-42.73,0.0
2021-09-30,350.53,$-36.96,0.0
2021-06-30,350.23,$167.31,2.09
2021-03-31,300.75,$75.46,3.99
2020-12-31,241.62,$-60.71,0.0
2020-09-30,183.15,$40.27,4.55
2020-06-30,179.01,$-35.42,0.0
2020-03-31,139.14,$20.77,6.7
2019-12-31,205.68,$58.74,3.5
2019-09-30,184.33,$-39.84,0.0
2019-06-30,180.88,$-79.69,0.0
2019-03-31,168.97,$-80.30,0.0
2018-12-31,146.43,$31.50,4.65
2018-09-30,196.56,$-26.95,0.0
2018-06-30,192.7,$-4.32,0.0
2018-03-31,219.27,$-50.44,0.0
2017-12-31,221.16,$-56.46,0.0
2017-09-30,205.27,$-26.08,0.0
2017-06-30,191.39,$-43.07,0.0
2017-03-31,197.45,$-17.84,0.0
2016-12-31,205.28,$11.22,18.3
2016-09-30,137.83,$6.67,20.68
2016-06-30,126.5,$1.06,119.47
2015-12-31,152.17,$17.17,8.86
2015-09-30,146.2,$-13.64,0.0
2015-06-30,175.07,$-21.93,0.0
2015-03-31,157.12,$-23.61,0.0
2014-12-31,161.52,$-36.98,0.0
2016-03-31,133.11,$-34.37,0.0
2014-09-30,152.48,$-23.75,0.0
2014-06-30,138.66,$-11.28,0.0
2014-03-31,135.22,$10.24,13.2
2013-12-31,145.8,$7.80,18.68
2013-09-30,129.7,$4.62,28.06
2013-06-30,123.59,$15.10,8.19
2013-03-31,119.87,$5.29,22.68
2012-12-31,103.56,$23.19,4.47
2012-09-30,91.91,$57.75,1.59
2012-06-30,77.16,$35.74,2.16
2012-03-31,99.64,$42.04,2.37
2011-12-31,72.24,$38.42,1.88
2011-09-30,75.23,$-12.15,0.0
2011-06-30,105.57,$6.72,15.72
2011-03-31,125.49,$4.82,26.06
2010-12-31,132.77,$-11.13,0.0
2010-09-30,113.9,$51.27,2.22
2010-06-30,103.15,$61.59,1.67
2010-03-31,133.76,$66.88,2.0
2009-12-31,132.06,$86.04,1.53
