NVR Price to Free Cash Flow Ratio Historical Data,NVR Price to Free Cash Flow Ratio Historical Data,NVR Price to Free Cash Flow Ratio Historical Data,NVR Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,9172.46,,20.7
2024-06-30,7588.56,$443.21,17.12
2024-03-31,8099.96,$380.00,21.32
2023-12-31,7000.45,$429.55,16.3
2023-09-30,5963.3,$512.98,11.62
2023-06-30,6350.62,$499.24,12.72
2023-03-31,5572.19,$535.15,10.41
2022-12-31,4612.58,$527.90,8.74
2022-09-30,3987.08,$364.85,10.93
2022-06-30,4004.14,$310.63,12.89
2022-03-31,4467.27,$318.40,14.03
2021-12-31,5908.87,$317.57,18.61
2021-09-30,4794.08,$341.02,14.06
2021-06-30,4973.3,$270.53,18.38
2021-03-31,4710.93,$298.40,15.79
2020-12-31,4079.86,$232.36,17.56
2020-09-30,4083.12,$233.06,17.52
2020-06-30,3258.75,$232.85,14.0
2020-03-31,2569.11,$173.14,14.84
2019-12-31,3808.41,$212.86,17.89
2019-09-30,3717.35,$178.36,20.84
2019-06-30,3370.25,$207.45,16.25
2019-03-31,2767.0,$210.82,13.13
2018-12-31,2436.99,$172.22,14.15
2018-09-30,2470.8,$172.51,14.32
2018-06-30,2970.35,$128.52,23.11
2018-03-31,2800.0,$122.53,22.85
2017-12-31,3508.22,$129.94,27.0
2017-09-30,2855.0,$144.77,19.72
2017-06-30,2410.61,$130.45,18.48
2017-03-31,2106.88,$126.70,16.63
2016-12-31,1669.0,$90.55,18.43
2016-09-30,1639.87,$69.54,23.58
2016-06-30,1780.34,$60.86,29.25
2016-03-31,1732.4,$39.71,43.63
2015-12-31,1643.0,$49.14,33.43
2015-09-30,1525.22,$51.05,29.88
2015-06-30,1340.0,$31.63,42.36
2015-03-31,1328.66,$37.76,35.19
2014-12-31,1275.33,$34.70,36.75
2014-09-30,1130.02,$20.18,55.99
2014-06-30,1150.6,$63.06,18.25
2014-03-31,1147.0,$63.13,18.17
2013-12-31,1026.01,$51.79,19.81
2013-09-30,919.19,$32.12,28.62
2013-06-30,922.0,$16.69,55.25
2013-03-31,1080.11,$16.10,67.09
2012-12-31,920.0,$49.07,18.75
2012-09-30,844.5,$33.50,25.21
2012-06-30,850.0,$16.55,51.36
2012-03-31,726.33,$17.04,42.64
2011-12-31,686.0,$-1.68,0.0
2011-09-30,603.98,$20.47,29.5
2011-06-30,725.48,$13.27,54.68
2011-03-31,756.0,$24.91,30.35
2010-12-31,691.02,$7.96,86.76
2010-09-30,647.53,$5.26,123.06
2010-06-30,655.03,$31.86,20.56
2010-03-31,726.5,$20.16,36.04
2009-12-31,710.71,$38.96,18.24
