Public Storage Price to Free Cash Flow Ratio Historical Data,Public Storage Price to Free Cash Flow Ratio Historical Data,Public Storage Price to Free Cash Flow Ratio Historical Data,Public Storage Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,343.72,,25.31
2024-06-30,287.65,$13.58,21.18
2024-03-31,290.06,$13.43,21.59
2023-12-31,305.0,$13.74,22.19
2023-09-30,263.52,$13.71,19.22
2023-06-30,291.88,$14.06,20.75
2023-03-31,298.99,$13.59,22.0
2022-12-31,274.41,$13.30,20.64
2022-09-30,284.88,$13.40,21.26
2022-06-30,290.65,$12.34,23.55
2022-03-31,360.37,$11.71,30.77
2021-12-31,343.92,$11.34,30.32
2021-09-30,271.26,$10.61,25.57
2021-06-30,272.82,$10.13,26.92
2021-03-31,222.38,$9.94,22.36
2020-12-31,206.41,$9.64,21.41
2020-09-30,197.31,$9.44,20.9
2020-06-30,168.49,$9.23,18.25
2020-03-31,172.64,$9.13,18.91
2019-12-31,183.38,$9.14,20.06
2019-09-30,209.15,$8.98,23.3
2019-06-30,201.48,$9.32,21.63
2019-03-31,182.72,$9.08,20.13
2018-12-31,169.82,$9.08,18.7
2018-09-30,167.58,$8.99,18.63
2018-06-30,186.75,$8.73,21.38
2018-03-31,163.45,$8.68,18.84
2017-12-31,168.76,$8.70,19.4
2017-09-30,171.17,$8.86,19.31
2017-06-30,165.21,$8.92,18.52
2017-03-31,171.78,$9.18,18.72
2016-12-31,173.78,$9.17,18.96
2016-09-30,171.92,$9.11,18.88
2016-06-30,195.32,$8.84,22.1
2016-03-31,209.22,$8.66,24.15
2015-12-31,186.66,$8.38,22.27
2015-09-30,158.36,$8.48,18.68
2015-06-30,136.81,$8.35,16.39
2015-03-31,144.97,$8.08,17.94
2014-12-31,134.93,$7.98,16.92
2014-09-30,120.14,$7.95,15.1
2014-06-30,123.13,$7.52,16.37
2014-03-31,120.08,$7.46,16.1
2013-12-31,106.38,$7.36,14.46
2013-09-30,112.43,$7.08,15.89
2013-06-30,106.52,$7.31,14.58
2013-03-31,104.95,$7.08,14.83
2012-12-31,99.05,$7.03,14.08
2012-09-30,94.35,$6.83,13.81
2012-06-30,97.17,$6.72,14.47
2012-03-31,92.22,$6.61,13.96
2011-12-31,88.99,$6.53,13.63
2011-09-30,73.15,$6.41,11.41
2011-06-30,74.31,$6.15,12.08
2011-03-31,71.68,$6.02,11.9
2010-12-31,65.07,$5.88,11.06
2010-09-30,61.77,$5.92,10.43
2010-06-30,55.53,$5.98,9.28
2010-03-31,57.6,$5.98,9.63
2009-12-31,50.63,$6.14,8.24
