WEC Energy Price to Free Cash Flow Ratio Historical Data,WEC Energy Price to Free Cash Flow Ratio Historical Data,WEC Energy Price to Free Cash Flow Ratio Historical Data,WEC Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,93.03,,53.79
2024-06-30,77.74,$1.73,44.94
2024-03-31,80.57,$1.95,41.25
2023-12-31,81.69,$1.57,52.17
2023-09-30,77.41,$0.58,134.63
2023-06-30,84.05,$-1.01,0.0
2023-03-31,89.54,$-2.01,0.0
2022-12-31,87.84,$-0.73,0.0
2022-09-30,83.14,$-0.54,0.0
2022-06-30,92.91,$1.15,80.75
2022-03-31,91.48,$1.80,50.84
2021-12-31,88.27,$-0.63,0.0
2021-09-30,79.61,$0.12,674.64
2021-06-30,79.72,$-0.41,0.0
2021-03-31,83.29,$-0.89,0.0
2020-12-31,81.24,$-0.07,0.0
2020-09-30,85.02,$0.20,417.99
2020-06-30,76.38,$-0.02,0.0
2020-03-31,76.22,$-0.34,0.0
2019-12-31,79.28,$0.27,296.47
2019-09-30,81.2,$0.55,148.2
2019-06-30,70.72,$0.53,133.25
2019-03-31,66.59,$0.83,80.43
2018-12-31,57.86,$1.04,55.59
2018-09-30,55.33,$0.56,98.32
2018-06-30,53.15,$0.69,76.53
2018-03-31,51.09,$0.60,85.36
2017-12-31,53.64,$0.38,142.85
2017-09-30,50.31,$1.84,27.35
2017-06-30,48.8,$1.82,26.8
2017-03-31,47.79,$2.67,17.87
2016-12-31,45.82,$2.67,17.15
2016-09-30,46.37,$1.51,30.73
2016-06-30,50.17,$1.10,45.48
2016-03-31,45.77,$0.64,71.58
2015-12-31,38.76,$0.21,187.68
2015-09-30,39.08,$0.61,64.54
2015-06-30,33.5,$1.62,20.7
2015-03-31,36.39,$1.58,23.06
2014-12-31,38.46,$1.92,19.99
2014-09-30,31.1,$2.10,14.83
2014-06-30,33.63,$2.42,13.89
2014-03-31,33.08,$2.49,13.28
2013-12-31,29.11,$2.22,13.13
2013-09-30,28.17,$2.25,12.54
2013-06-30,28.35,$2.40,11.8
2013-03-31,29.43,$2.04,14.4
2012-12-31,25.07,$2.04,12.27
2012-09-30,25.42,$2.00,12.73
2012-06-30,26.5,$0.69,38.17
2012-03-31,23.37,$0.48,49.19
2011-12-31,23.02,$0.87,26.55
2011-09-30,20.44,$0.70,29.32
2011-06-30,20.29,$1.32,15.35
2011-03-31,19.58,$1.12,17.45
2010-12-31,18.73,$0.34,54.79
2010-09-30,18.27,$0.45,40.68
2010-06-30,15.92,$0.24,66.3
2010-03-31,15.38,$0.39,39.89
2009-12-31,15.39,$-0.72,0.0
